timestamps,TP9,AF7,AF8,TP10
1710364975.457,1710364975.457,1710365339.715,1710366944.207,1710365975.457
1710364975.461,1710364975.461,1710365386.594,1710366944.211,1710365975.461
1710364975.465,1710364975.465,1710365385.133,1710366944.703,1710365975.465
1710364975.469,1710364975.469,1710365310.430,1710366944.219,1710365975.469
1710364975.472,1710364975.472,1710365334.847,1710366944.711,1710365975.472
1710364975.476,1710364975.476,1710365403.699,1710366944.226,1710365975.476
1710364975.480,1710364975.480,1710365383.195,1710366944.230,1710365975.480
1710364975.484,1710364975.484,1710365328.511,1710366944.722,1710365975.484
1710364975.488,1710364975.488,1710365333.886,1710366944.726,1710365975.488
1710364975.492,1710364975.492,1710365351.957,1710366944.730,1710365975.492
1710364975.496,1710364975.496,1710365307.039,1710366944.734,1710365975.496
1710364975.500,1710364975.500,1710365267.004,1710366944.738,1710365975.500
